Mes,Facturacion Real
2025-01,24475.00
2025-02,22174.00
2025-03,25502.00
2025-04,22539.00
2025-05,24317.00
2025-06,22451.00
2025-07,23135.00
2025-08,22114.00
2025-09,23398.00
2025-10,24254.00
2025-11,0.00
2025-12,0.00
