Mes,Facturacion Real
2025-01,208535.00
2025-02,223114.00
2025-03,223114.00
2025-04,230084.00
2025-05,228866.00
2025-06,247570.00
2025-07,247570.00
2025-08,249003.00
2025-09,246919.00
2025-10,265509.00
2025-11,249933.10
2025-12,0.00
