Mes,Facturacion Real
2025-01,14553.00
2025-02,14164.00
2025-03,14961.00
2025-04,14678.00
2025-05,13529.00
2025-06,15258.00
2025-07,15496.00
2025-08,14764.00
2025-09,15450.00
2025-10,14977.00
2025-11,0.00
2025-12,0.00
