Mes,Facturacion Real
2025-01,7263.00
2025-02,5913.00
2025-03,9063.00
2025-04,7322.00
2025-05,6890.00
2025-06,7242.00
2025-07,6695.00
2025-08,7158.00
2025-09,7425.00
2025-10,6999.00
2025-11,0.00
2025-12,0.00
